source,target,value
"4377","5734","1"
"3278","5735","1"
"5906","5735","1"
"2053","5740","1"
"5745","5745","1"
"8430","5746","1"
"2655","5748","1"
"1578","5753","1"
"6110","5763","1"
"8159","5763","1"
"1790","5763","1"
"2237","5765","1"
"2285","5766","1"
"758","5769","1"
"8087","5769","1"
"729","5769","1"
"2079","5771","1"
"1825","5773","1"
"2171","5773","1"
"2365","5774","1"
"5557","5781","1"
"2267","5781","1"
"2417","5784","1"
"424","5786","1"
"8370","5788","1"
"4281","5806","1"
"6408","5806","1"
"567","5806","1"
"6409","5806","1"
"5267","5808","1"
"8144","5845","1"
"3395","5853","1"
"5300","5856","1"
"4377","5860","1"
"1292","5864","1"
"5037","5864","1"
"358","1664","1"
"357","1664","1"
"196","5875","1"
"891","5880","1"
"2061","5892","1"
"5267","5892","1"
"6164","5896","1"
"1252","5897","1"
"1605","5897","1"
"8156","5899","1"
"2061","5909","1"
"1760","5921","1"
"8257","5921","1"
"601","5925","1"
"1713","5925","1"
"1578","5925","1"
"5664","5943","1"
"5692","5943","1"
"4260","5953","1"
"334","5953","1"
"5953","5953","1"
"1578","5956","1"
"871","5970","1"
"4900","5975","1"
"9076","5982","1"
"2053","5985","1"
